,sample,sex,pop,pop_name,superpop,superpop_name
352,HG02013,male,ACB,African Caribbean,AFR,African Ancestry
353,HG01709,male,IBS,Iberian,EUR,European Ancestry
354,HG02075,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
355,HG01711,female,IBS,Iberian,EUR,European Ancestry
356,HG02082,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
357,HG01747,male,IBS,Iberian,EUR,European Ancestry
358,HG02087,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
359,HG01761,male,IBS,Iberian,EUR,European Ancestry
360,HG01945,female,PEL,Peruvian,AMR,American Ancestry
361,HG01615,male,IBS,Iberian,EUR,European Ancestry
362,HG01952,male,PEL,Peruvian,AMR,American Ancestry
363,HG01622,female,IBS,Iberian,EUR,European Ancestry
364,HG02253,male,PEL,Peruvian,AMR,American Ancestry
365,HG01627,male,IBS,Iberian,EUR,European Ancestry
366,HG02258,male,ACB,African Caribbean,AFR,African Ancestry
367,HG01672,male,IBS,Iberian,EUR,European Ancestry
368,HG02260,female,PEL,Peruvian,AMR,American Ancestry
369,HG01677,female,IBS,Iberian,EUR,European Ancestry
370,HG02265,male,PEL,Peruvian,AMR,American Ancestry
371,HG01684,female,IBS,Iberian,EUR,European Ancestry
372,HG02272,female,PEL,Peruvian,AMR,American Ancestry
373,HG01696,male,IBS,Iberian,EUR,European Ancestry
374,HG02486,male,ACB,African Caribbean,AFR,African Ancestry
375,HG01862,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
376,HG02493,male,PJL,Punjabi,SAS,South Asian Ancestry
377,HG01867,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
378,HG02501,male,ACB,African Caribbean,AFR,African Ancestry
379,HG01874,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
380,HG02513,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
381,HG01879,male,ACB,African Caribbean,AFR,African Ancestry
382,HG02450,female,ACB,African Caribbean,AFR,African Ancestry
383,HG01881,female,ACB,African Caribbean,AFR,African Ancestry
384,HG02455,male,ACB,African Caribbean,AFR,African Ancestry
385,HG01944,male,PEL,Peruvian,AMR,American Ancestry
386,HG02462,female,GWD,Gambian Mandinka,AFR,African Ancestry
387,HG01949,female,PEL,Peruvian,AMR,American Ancestry
388,HG02479,female,ACB,African Caribbean,AFR,African Ancestry
389,HG01951,female,PEL,Peruvian,AMR,American Ancestry
390,HG02481,male,ACB,African Caribbean,AFR,African Ancestry
391,HG01956,female,ACB,African Caribbean,AFR,African Ancestry
392,HG02304,male,PEL,Peruvian,AMR,American Ancestry
393,HG01968,female,PEL,Peruvian,AMR,American Ancestry
394,HG02309,female,ACB,African Caribbean,AFR,African Ancestry
395,HG01970,male,PEL,Peruvian,AMR,American Ancestry
396,HG02316,male,ACB,African Caribbean,AFR,African Ancestry
397,HG01975,female,PEL,Peruvian,AMR,American Ancestry
398,HG02323,male,ACB,African Caribbean,AFR,African Ancestry
399,HG01982,male,PEL,Peruvian,AMR,American Ancestry
400,HG02330,male,ACB,African Caribbean,AFR,African Ancestry
401,HG01987,male,ACB,African Caribbean,AFR,African Ancestry
402,HG02277,male,PEL,Peruvian,AMR,American Ancestry
403,HG01886,female,ACB,African Caribbean,AFR,African Ancestry
404,HG02284,male,ACB,African Caribbean,AFR,African Ancestry
405,HG01893,female,PEL,Peruvian,AMR,American Ancestry
406,HG02291,male,PEL,Peruvian,AMR,American Ancestry
407,HG01898,female,PEL,Peruvian,AMR,American Ancestry
408,HG01918,female,PEL,Peruvian,AMR,American Ancestry
409,HG02373,male,CDX,Dai Chinese,EAS,East Asian Ancestry
410,HG01766,female,IBS,Iberian,EUR,European Ancestry
411,HG02380,male,CDX,Dai Chinese,EAS,East Asian Ancestry
412,HG01773,female,IBS,Iberian,EUR,European Ancestry
413,HG02222,female,IBS,Iberian,EUR,European Ancestry
414,HG01778,male,IBS,Iberian,EUR,European Ancestry
415,HG02234,male,IBS,Iberian,EUR,European Ancestry
416,HG01780,male,IBS,Iberian,EUR,European Ancestry
417,HG02239,female,IBS,Iberian,EUR,European Ancestry
418,HG01785,male,IBS,Iberian,EUR,European Ancestry
419,HG01920,male,PEL,Peruvian,AMR,American Ancestry
420,HG02429,male,ACB,African Caribbean,AFR,African Ancestry
421,HG01925,female,PEL,Peruvian,AMR,American Ancestry
422,HG02436,male,ACB,African Caribbean,AFR,African Ancestry
423,HG01932,male,PEL,Peruvian,AMR,American Ancestry
424,HG02385,male,CDX,Dai Chinese,EAS,East Asian Ancestry
425,HG01937,male,PEL,Peruvian,AMR,American Ancestry
426,HG02392,male,CDX,Dai Chinese,EAS,East Asian Ancestry
427,HG01817,female,CDX,Dai Chinese,EAS,East Asian Ancestry
428,HG02397,male,CDX,Dai Chinese,EAS,East Asian Ancestry
429,HG01843,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
430,HG02568,female,GWD,Gambian Mandinka,AFR,African Ancestry
431,HG01848,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
432,HG02570,male,GWD,Gambian Mandinka,AFR,African Ancestry
433,HG01850,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
434,HG01855,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
435,HG02582,male,GWD,Gambian Mandinka,AFR,African Ancestry
436,HG01797,female,CDX,Dai Chinese,EAS,East Asian Ancestry
437,HG01800,female,CDX,Dai Chinese,EAS,East Asian Ancestry
